Simulation Total Time;4215587
Total Number of Sensed Events by the Drone: 1274296
Number of Sensed Events by the Drone per Day
1;40591
2;40604
3;40749
4;40572
5;40758
6;40775
7;41026
8;40876
9;40988
10;40672
11;40521
12;40682
13;40732
14;40893
15;40862
16;40927
17;40955
18;40909
19;40893
20;40894
21;40656
22;40808
23;40729
24;40783
25;40453
26;40742
27;40958
28;40940
29;40911
30;40658
31;40580
32;10199
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime; Battery spent with drone
eboracum.wsn.network.node.sensor.UAVWSNNode;Node0;0;197922;71598;1;24411;4215519.999999;48 days 18:59:47;32577.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node1;0;363461;93639;1;25514;3811276.666664;44 days 2:42:9;54411.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node2;0;410822;100788;1;25472;3746786.666663;43 days 8:46:56;54930.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node3;0;422679;100892;1;25457;3748246.666662;43 days 9:10:58;55107.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node4;0;428503;100855;1;25373;3762616.666662;43 days 13:11:15;54402.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node5;0;428299;101009;0;25446;3748909.999995;43 days 9:21:51;55272.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node6;0;426613;100389;1;25321;3775943.333329;43 days 16:54:2;54330.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node7;0;427987;99962;1;25274;3788046.666662;43 days 20:18:9;53607.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node8;0;391004;97811;1;25458;3778889.999996;43 days 17:41:45;54543.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node9;0;273184;76327;1;24267;4192229.999998;48 days 12:37:5;47025.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node10;0;314946;93410;1;25585;3801733.333332;44 days 0:3:27;54573.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node11;0;514212;124680;0;26169;3391699.999995;39 days 6:9:59;62457.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node12;0;616215;127053;1;25940;3406136.666659;39 days 10:11:13;61500.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node13;0;604482;126599;0;25998;3401009.999993;39 days 8:44:4;61866.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node14;0;640327;126583;0;25944;3410169.999991;39 days 11:17:23;61665.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node15;0;612364;127311;0;26104;3376223.333325;39 days 1:50:46;62685.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node16;0;650295;126962;1;25989;3398879.999991;39 days 8:9:2;61995.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node17;0;620798;126512;1;25935;3412379.999992;39 days 11:54:6;61584.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node18;0;595770;124306;1;26091;3408439.999992;39 days 10:47:50;61884.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node19;0;404057;98262;1;25499;3767546.666662;43 days 14:33:10;54612.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node20;0;339225;100481;0;25274;3782856.666665;43 days 18:47:50;53868.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node21;0;546691;127517;0;26105;3373996.666662;39 days 1:14:5;62592.0
